PMID:11787563	Lopasić A	Coll Antropol. 25(1):363-70	2001	Mediterranean islands: a concept. 	"This article represents some of the results of my fieldwork and research on the islands of Sardinia, Corsica, Malta, Sicily, Crete and Susak between the years 1962-1986. My main field-work in Sardinia was supported by the Social Science Research Council, London and the University of Reading/Berks, and the ones in Corsica, Malta and Sardinia by the Department of Ethnology, University of Cologne (Institut für Völkerkunde, Universität Köln) forming a part of a project on the Mediterranean of which I was in charge. The above research was also related to my M.A. Course on ""Mediterranean Peasant Societies and Social Structures"" taught at the Graduate School of European and International Studies, University of Reading between 1978-1994. The main purpose of the article is to demonstrate the role of the islands in the Mediterranean, especially their ability in preserving their identity in spite of many incursions from outside. Islands became symbolized by their systems of values, and the ability to survive any attempt of conquest or change. In this the islands received a great help in the environment which helped these islands to remain unique and isolated until the present day."
PMID:11838975	Kotsos M, Aligiannis N, Mitaku S, Skaltsounis AL, Charvala C	Nat Prod Lett. 15(6):377-86	2001	Chemistry of plants from Crete: stachyspinoside, a new flavonoid glycoside and iridoids from Stachys spinosa. 	The new flavonoid glycoside stachyspinoside (1), and the three iridoids, 7-O-acetyl-8-epi-loganic acid (2), ajugol (3) and harpagide (4) were isolated from Stachys spinosa. The structures of these compounds were established on the basis of mass spectrometry (ESMS and tandem MS), one- and two-dimensional nuclear magnetic resonance experiments (COSY, COSY LR, HMQC, TOCSY and HMBC) as well as simple chemical derivatization.
PMID:12361033	Dialynas G, Kefalakis N, Dialynas M, Angelakis A	Water Sci Technol. 46(4-5):355-60	2002	Performance of an innovative FWS constructed wetland in Crete, Greece. 	Pompia is an ancient name of a small community in Messara valley, which is the main agricultural area, in central Crete. The constructed wetland in Pompia is a free water surface (FWS) system, for treating the wastewater of the local community of 1,200 p.e. That wastewater treatment plant (WWTP) is a pilot plant but it is simple, safe, innovative, and environmentally friendly. The WWTP was funded by the Region of Crete. The Eastern Crete Development Organization was responsible for the design, supervision, management, and initial operation. The project was completed in August 1999, and has been under operation since then. The effluent is considered to be equivalent to tertiary treated municipal wastewater, and it will be used to irrigate olive orchards. The general sense for a visitor is that the FWS system operates like a natural marsh and a habitat of birds and wild animals. In addition, very high removal rates for BOD5, COD, TSS, TKN, TP, TC, and FC have been obtained.
PMID:13678115	Maramathas A, Maroulis Z, Marinos-Kouris D	Ground Water. 41(5):608-19	2003	Brackish karstic springs model: application to Almiros spring in Crete. 	A mathematical model is proposed to simulate brackish karstic springs. Rainfall data constitutes model input information while output information is the discharge and the chloride concentration of the water versus time. The model was constructed by considering the mass and mechanical energy balance on the hydrodynamic analog, which includes three reservoirs outflowing in a tube that lies adjacent to the spring. Two reservoirs emulate the karstic system, and the third one emulates the sea. The discharge of the spring is given by the sum of the discharge of the reservoirs, and the chloride concentration by the solution of the mixing problem between the fresh and the salty water, which exists in the tube leading to the spring. The model is applied to the spring of Almiros at Heraklion, Crete, Greece. The agreement between model values and field measurements is very good for depletion periods and satisfactory for recharge periods. 
PMID:15328695	Manios T, Kypriotakis Z, Manios V, Dialyna G	J Environ Sci Health A Tox Hazard Subst Environ Eng. 37(7):1327-35	2002	Plant species in a two-year-old free water surface constructed wetland treating domestic wastewater in the island of Crete. 	A free water surface wetland treating domestic wastewater for the village of Pompia in Southern Crete was constructed in early 1999 and became operational on September 1st of the same year. The total surface area of the wetland was 5700m2, designed for 1200 people equivalent. Arundo donax (giant reed) was used for the vegetation of the bed. Approximately 4-6 plants were introduced per square meter. Two years later the wetland was well covered with plants. The Arundo donax was developed as the dominant specie covering more than 95% of the wetland's surface, reaching its maximum developing potential in both density (70-90 plants per m2) and size (5-7 m). More than 30 other plants were identified most of them in the banks of the wetland.
PMID:15612827	Chorianopoulos N, Kalpoutzakis E, Aligiannis N, Mitaku S, Nychas GJ, Haroutounian SA	J Agric Food Chem. 52(26):8261-7	2004	Essential oils of Satureja, Origanum, and Thymus species: chemical composition and antibacterial activities against foodborne pathogens. 	"The chemical composition of the essential oils obtained from the species restricted to Greece and the eastern Mediterranean region, Satureja spinosa L. and Thymus longicaulis L.; species endemic to central and south Greece, Satureja parnassica ssp. parnassica Heldr. and Sart ex Boiss.; species endemic to the island of Crete, Origanum dictamnus L.; and species widely distributed in the Mediterranean region, Satureja thymbra L. and Origanum vulgare L. subsp. hirtum, were determined by gas chromatography (GC) and GC/mass spectrometry (MS) analysis. The in vitro antibacterial activities of the essential oils were evaluated against a panel of five foodborne bacteria (Escherichia coli 0157:H7 NCTC 12900, Salmonella enteritidis PT4, Staphylococcus aureus ATCC 6538, Listeria monocytogenes ScottA, and Bacillus cereus FSS 134). The analytical data indicated that various monoterpene hydrocarbons and phenolic monoterpenes constitute the major components of the oils, but their concentrations varied greatly among the oils examined. The antibacterial assay results showed that 5 muL doses of the essential oils extracted from the endemic Satureja species in Greece possess remarkable bactericidal properties, which are clearly superior as compared to those of Origanum and Thymus species essential oils. Therefore, they represent an inexpensive source of natural mixtures of antibacterial compounds that exhibit potentials for use in food systems to prevent the growth of foodborne bacteria and extend the shelf life of the processed food."
PMID:15800390	Łoboda A, Cisowski J, Zarebski A, Jaźwa A, Riviera Nunez D, Kypriotakis Z, Heinrich M, Dulak J	J Physiol Pharmacol. 56 Suppl 1:125-37	2005	Effects of plant extracts on angiogenic activities of endothelial cells and keratinocytes. 	Numerous bioactive chemical compounds of plant origin may influence the angiogenic activity of various cell types and may thus affect the formation of blood vessels. Here we present the angiogenic effects of extracts of edible plants collected in Crete, Southern Italy and Southern Spain. Extracts have been applied to cultured human microvascular endothelial cells (HMEC-1), human umbilical vein endothelial cells (HUVEC) and human keratinocytes (HaCaT). About half out of 96 extracts exerted an inhibitory effect on HMEC-1 proliferation. Additionally, we have noted the inhibitory effects of extracts on HUVEC differentiation on a Matrigel layer. None of the extracts showed a stimulatory activity. The extract of Thymus piperella exerted moderate inhibitory effect on cobalt-chloride induced VEGF synthesis, however, CoCl(2)-induced activation of hypoxia responsive element of VEGF promoter was significantly attenuated only by extract of Origanum heracleoticum. Our study indicates that extracts of local food plants, of potential value as nutraceuticals, contain chemical compounds which may inhibit angiogenesis. Demonstration of their real influence on human health requires, however, extensive animal studies and controlled clinical investigations.
PMID:15969725	Poulakakis N, Lymberakis P, Valakos E, Pafilis P, Zouros E, Mylonas M	Mol Ecol. 14(8):2433-43	2005	Phylogeography of Balkan wall lizard (Podarcis taurica) and its relatives inferred from mitochondrial DNA sequences. 	Wall lizards of the genus Podarcis (Sauria, Lacertidae) comprise 17 currently recognized species in southern Europe, where they are the predominant reptile group. The taxonomy of Podarcis is complex and unstable. Based on DNA sequence data the species of Podarcis falls into four main groups that have substantial geographical conherence (western island group, southwestern group, Italian group and Balkan group). The Balkan species are divided in two subgroups: the subgroup of Podarcis taurica (P. taurica, P. milensis, P. gaigeae and perhaps P. melisellensis), and the subgroup of Podarcis erhardii (P. erhardii and P. peloponnesiaca). We addressed the question of phylogenetic relations among the species of the P. taurica subgroup encountered in Greece, as they can be inferred from partial mtDNA (cyt b and 16S) sequences. Our data support the monophyly of P. taurica subgroup and suggest that P. gaigeae, P. milensis and P. melisellensis form a clade, which thereinafter connects to P. taurica. Within the previous clade, P. gaigeae is more closely related to P. milensis than to P. melisellensis. However, the specimens of P. taurica were subdivided in two different groups. The first one includes the specimens from northeastern Greece, and the other group includes the specimens from the rest of continental Greece and Ionian islands. Because the molecular clock of the cyt b and 16 rRNA genes was not rejected in our model test, it is possible to estimate times of speciation events. Based on the splitting of the island of Crete from Peloponnisos [c. 5 million years ago (Ma)], the evolutionary rate for the cyt b is 1.55% per million years (Myr) and for the 16S rRNA is 0.46% per Myr. These results suggest that the evolutionary history of P. taurica in Greece is more complex than a single evolutionary invasion. The data analysed, stress the need for a reconsideration of the evolutionary history of Greek Podarcis species and help overcome difficulties that classical taxonomy has encountered at both the species level.
PMID:16003476	Polymenakou PN, Bertilsson S, Tselepides A, Stephanou EG	Microb Ecol. 49(3):367-78	2005	Links between geographic location, environmental factors, and microbial community composition in sediments of the Eastern Mediterranean Sea. 	"The bacterial community composition of marine surface sediments originating from various regions of the Eastern Mediterranean Sea (12 sampling sites) was compared by parallel use of three fingerprinting methods: analysis of 16S rRNA gene fragment heterogeneity by denaturing gradient electrophoresis (DGGE), terminal restriction fragment length polymorphism (T-RFLP), and analysis of phospholipid-linked fatty acid composition (PLFA). Sampling sites were located at variable depths (30-2860 m; water column depth above the sediments) and the sediments differed greatly also in their degree of petroleum contamination (0.4-18 microg g(-1)), organic carbon (0.38-1.5%), and chlorophyll a content (0.01-7.7 microg g(-1)). Despite a high degree of correlation between the three different community fingerprint methods, some major differences were observed. DGGE banding patterns showed a significant separation of sediment communities from the northern, more productive waters of the Thermaikos Gulf and the oligotrophic waters of the Cretan, S. Ionian, and Levantine Sea. T-RFLP analysis clearly separated the communities of deep sediments (&gt;1494 m depth) from their shallow (&lt;617 m) counterparts. PLFA analysis grouped a shallow station from the productive waters of the north with the deep oligotrophic sediments from the Ionian and Levantine Sea, with low concentrations of PLFAs, and hence low microbial biomass, as the common denominator. The degree of petroleum contamination was not significantly correlated to the apparent composition of the microbial communities for any of the three methods, whereas organic carbon content and sediment chlorophyll a were important in this regard."
PMID:16136799	Parmakelis A, Pfenninger M, Spanos L, Papagiannakis G, Louis C, Mylonas M	Evolution. 59(5):991-1005	2005	Inference of a radiation in Mastus (Gastropoda, Pulmonata, Enidae) on the island of Crete. 	The Mediterranean land snail genus Mastus (Beck, 1837) is highly divergent. Thirty-two Mastus species have been recorded throughout the genus range, and 23 of them are endemic to the islands of the Aegean Sea and mainland Greece. Of these, all 16 Mastus species reported from Crete are endemic to this island. A robust molecular phylogenetic framework based on mitochondrial and nuclear genes (1623 bp) allowed us to explore the temporal diversification pattern of lineages, using molecular clock approaches. Our results showed an initial radiation in the evolutionary history of the Cretan lineage, followed by a subsequent slowdown of lineage splitting rate. Using a dated major vicariant event of the Aegean area, we estimated the absolute time of the radiation event and proposed a biogeographic scenario accounting for the observed pattern. Additionally, we tried to infer the processes that led to the divergence of the Cretan Mastus species, by applying comparative methods in phylogenetically informated context. Overall, our results favoured a nonecological radiation scenario in the Cretan Mastus species due to an allopatric divergence of secondary sexual characters.
